@churn reason,@customers/revenue,@Lost/gain,@service_type,@symbol,@symcol survey,@Tree tooltip,Age,Age (bin),Age (group),Button_count,Button_revenue,Churn Category,Churn Reason,City,Contract,Customer ID,Customer Status,Customer Status (group),Device Protection Plan,dispaly,dispaly 2,dummy,Gender,Internet Service,Internet Type,Married,Monthly Charge (group),Multiple Lines,Offer,Online Backup,Online Security,Paperless Billing,Payment Method,Phone Service,Premium Tech Support,state,Streaming Movies,Streaming Music,Streaming TV,Tenure in Months (bin),Unlimited Data,value,Zip Code,@ total revenue,@1.avg purchase value,@2.APFR,@3.Avg CV,@4.ACL,@5.CLTV,@churn  revenue label,@Churned revenue,@churned_revenure,@joined revenue label,@joined&stayed_revenure,@monthly charge LTV,@new customer,#NAME?,@tenure_LTV,@Total Revenue in 1-year,Avg monthly charge,Avg Monthly GB Download,Avg Monthly Long Distance Charges,Avg Revenue per month,Latitude,Longitude,min,Monthly charg_cal,Monthly Charge,Number of Dependents,Number of Referrals,Tenure in Months,Total Charges,Total Extra Data Charges,Total Long Distance Charges,Total Refunds,Total Revenue,zero
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,47,40,45-54,TRUE,FALSE,,,Rancho Santa Fe,Two Year,0017-DINOC,Stayed,Joined & Stayed,No,count,Joined & Stayed,dummy,Male,Yes,Cable,Not married,$45 to < $60,,None,No,Yes,No,Credit Card,No,Yes,California,No,No,Yes,4-<5,Yes,Low Monthly charge & Longer Tenure,92091,0.00246055,45.56574074,12,546.7888889,4.5,2460.55,,,,,2460.55,45.56574074,0,2460.55,12,546.7888889,45.56574074,10,,45.56574074,32.99356,-117.207121,-1,45.56574074,45.2,0,0,54,2460.55,0,0,0,2460.55,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,25,24,25-34,TRUE,FALSE,,,Sunnyvale,Two Year,0017-IUDMW,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,Fiber Optic,Married,>= $105,Yes,None,Yes,Yes,Yes,Credit Card,Yes,Yes,California,Yes,Yes,Yes,6 & more,Yes,High Monthly charge & Longer Tenure,94086,0.00960947,117.4548611,12,1409.458333,6,8456.75,,,,,9609.47,117.4548611,0,9609.47,12,1409.458333,133.4648611,59,16.01,133.4648611,37.378541,-122.020456,-1,117.4548611,116.8,2,2,72,8456.75,0,1152.72,0,9609.47,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,58,56,55-64,TRUE,FALSE,,,Antelope,Month to Month,0018-NYROU,Stayed,Joined & Stayed,No,count,Joined & Stayed,dummy,Female,Yes,Fiber Optic,Married,$60 to < $75,No,None,No,No,Yes,Bank Withdrawal,Yes,No,California,No,No,No,<1,Yes,Low Monthly charge & Shorter Tenure,95843,0.00044475,70.3,5,351.5,0.416666667,146.4583333,,,,,444.75,70.3,1,444.75,5,351.5,88.95,10,18.65,88.95,38.715498,-121.363411,-1,70.3,68.95,0,0,5,351.5,0,93.25,0,444.75,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,32,32,25-34,TRUE,FALSE,,,La Mesa,Two Year,0019-EFAEP,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,Fiber Optic,Not married,$90 to < $105,Yes,Offer A,Yes,Yes,Yes,Bank Withdrawal,Yes,No,California,No,No,Yes,6 & more,Yes,High Monthly charge & Longer Tenure,91942,0.00742325,100.8506944,12,1210.208333,6,7261.25,,,,,7423.25,100.8506944,0,7423.25,12,1210.208333,103.1006944,16,2.25,103.1006944,32.782501,-117.01611,-1,100.8506944,101.3,0,0,72,7261.25,0,162,0,7423.25,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,39,32,35-44,TRUE,FALSE,,,Los Olivos,Two Year,0019-GFNTW,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,DSL,Not married,$45 to < $60,,None,Yes,Yes,No,Bank Withdrawal,No,Yes,California,No,No,No,4-<5,Yes,Low Monthly charge & Longer Tenure,93441,0.0025601,45.71607143,12,548.5928571,4.666666667,2560.1,,,,,2560.1,45.71607143,0,2560.1,12,548.5928571,45.71607143,19,,45.71607143,34.70434,-120.02609,-1,45.71607143,45.05,0,0,56,2560.1,0,0,0,2560.1,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,58,56,55-64,TRUE,FALSE,,,Woodlake,Two Year,0020-INWCK,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,Fiber Optic,Married,$90 to < $105,Yes,Offer A,Yes,No,Yes,Credit Card,Yes,No,California,Yes,Yes,No,5 to <6,Yes,High Monthly charge & Longer Tenure,93286,0.00878486,96.47042254,12,1157.64507,5.916666667,6849.4,,,,,8784.86,96.47042254,0,8784.86,12,1157.64507,123.7304225,12,27.26,123.7304225,36.464635,-119.094348,-1,96.47042254,95.75,2,9,71,6849.4,0,1935.46,0,8784.86,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,52,48,45-54,TRUE,FALSE,,,Point Reyes Station,One Year,0020-JDNXP,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,DSL,Married,$60 to < $75,,None,No,Yes,No,Credit Card,No,Yes,California,Yes,Yes,Yes,2 to <3,Yes,Low Monthly charge & Longer Tenure,94956,0.0019932,58.62352941,12,703.4823529,2.833333333,1993.2,,,,,1993.2,58.62352941,0,1993.2,12,703.4823529,58.62352941,20,,58.62352941,38.060264,-122.830646,-1,58.62352941,61.25,1,0,34,1993.2,0,0,0,1993.2,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,72,72,65>,TRUE,FALSE,,,San Marcos,One Year,0021-IKXGC,Joined,Joined & Stayed,No,count,Joined & Stayed,dummy,Female,Yes,Fiber Optic,Not married,$60 to < $75,Yes,Offer E,No,No,Yes,Bank Withdrawal,Yes,No,California,No,No,No,<1,Yes,Low Monthly charge & Shorter Tenure,92078,7.99E-05,72.1,1,72.1,0.083333333,6.008333333,,,,,79.87,72.1,1,79.87,1,72.1,79.87,22,7.77,79.87,33.119028,-117.166036,-1,72.1,72.1,0,0,1,72.1,0,7.77,0,79.87,0
,# Of Churned Customers,Lost,,►,►,Total Churned Customers,79,72,65>,TRUE,FALSE,Dissatisfaction,Limited range of services,Daly City,One Year,0022-TCJCI,Churned,Churned,Yes,count,Joined & Stayed,dummy,Male,Yes,DSL,Not married,$60 to < $75,No,None,No,Yes,No,Credit Card,Yes,No,California,Yes,No,No,3 to <4,Yes,Low Monthly charge & Longer Tenure,94015,0.00327165,62.03333333,12,744.4,3.75,2791.5,,$0.00M,3271.65,,,62.03333333,0,,12,744.4,72.70333333,17,10.67,72.70333333,37.680844,-122.48131,-1,62.03333333,62.7,0,0,45,2791.5,0,480.15,0,3271.65,0
Competitor made better offer,# Of Churned Customers,Lost,,►,▼,Total Churned Customers,67,64,65>,TRUE,FALSE,Competitor,Competitor made better offer,Morgan Hill,Month to Month,0023-HGHWL,Churned,Churned,No,count,Joined & Stayed,dummy,Male,Yes,Cable,Not married,$15 to < $30,,None,No,No,Yes,Bank Withdrawal,No,No,California,No,No,No,<1,Yes,Low Monthly charge & Shorter Tenure,95037,2.51E-05,25.1,1,25.1,0.083333333,2.091666667,,$0.00M,25.1,,,25.1,0,,1,25.1,25.1,9,,25.1,37.161544,-121.649371,-1,25.1,25.1,0,0,1,25.1,0,0,0,25.1,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,79,72,65>,TRUE,FALSE,,,Ahwahnee,One Year,0023-UYUPN,Stayed,Joined & Stayed,,count,Joined & Stayed,dummy,Female,No,No Internet,Married,$15 to < $30,Yes,None,,,No,Bank Withdrawal,Yes,,California,,,,4-<5,,Low Monthly charge & Longer Tenure,93601,0.0028778,26.126,12,313.512,4.166666667,1306.3,,,,,2877.8,26.126,0,2877.8,12,313.512,57.556,,31.43,57.556,37.375816,-119.739935,-1,26.126,25.2,0,0,50,1306.3,0,1571.5,0,2877.8,0
,# Of Churned Customers,Lost,,►,►,Total Churned Customers,26,24,25-34,TRUE,FALSE,Other,Don't know,Carnelian Bay,Month to Month,0023-XUOPT,Churned,Churned,Yes,count,Joined & Stayed,dummy,Female,Yes,Fiber Optic,Married,$90 to < $105,Yes,None,Yes,No,No,Bank Withdrawal,Yes,No,California,No,No,Yes,1 to <2,Yes,High Monthly charge & Shorter Tenure,96140,0.00178188,93.50769231,12,1122.092308,1.083333333,1215.6,,$0.00M,1781.88,,,93.50769231,0,,12,1122.092308,137.0676923,52,43.56,137.0676923,39.227434,-120.091806,-1,93.50769231,94.1,0,1,13,1215.6,0,566.28,0,1781.88,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,30,24,25-34,TRUE,FALSE,,,Alpaugh,Month to Month,0027-KWYKW,Stayed,Joined & Stayed,No,count,Joined & Stayed,dummy,Female,Yes,Fiber Optic,Married,$75 to < $90,Yes,Offer D,No,No,Yes,Bank Withdrawal,Yes,No,California,No,No,Yes,1 to <2,Yes,Low Monthly charge & Shorter Tenure,93201,0.00265288,80.4326087,12,965.1913043,1.916666667,1849.95,,,,,2652.88,80.4326087,0,2652.88,12,965.1913043,115.3426087,30,34.91,115.3426087,35.869626,-119.498771,-1,80.4326087,83.75,2,1,23,1849.95,0,802.93,0,2652.88,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,22,16,<25,TRUE,FALSE,,,Keeler,Month to Month,0030-FNXPP,Joined,Joined & Stayed,,count,Joined & Stayed,dummy,Female,No,No Internet,Not married,$15 to < $30,No,None,,,No,Credit Card,Yes,,California,,,,<1,,Low Monthly charge & Shorter Tenure,93530,6.66E-05,19.06666667,3,57.2,0.25,14.3,,,,,66.56,19.06666667,1,66.56,3,57.2,22.18666667,,3.12,22.18666667,36.560498,-117.962461,-1,19.06666667,19.85,0,0,3,57.2,0,9.36,0,66.56,0
,# Of Churned Customers,Lost,,►,►,Total Churned Customers,34,32,25-34,TRUE,FALSE,Price,Long distance charges,Korbel,Month to Month,0031-PVLZI,Churned,Churned,,count,Joined & Stayed,dummy,Female,No,No Internet,Married,$15 to < $30,No,Offer E,,,No,Credit Card,Yes,,California,,,,<1,,Low Monthly charge & Shorter Tenure,95550,0.00012607,19.0875,4,76.35,0.333333333,25.45,,$0.00M,126.07,,,19.0875,0,,4,76.35,31.5175,,12.43,31.5175,40.7666,-123.80458,-1,19.0875,20.35,0,0,4,76.35,0,49.72,0,126.07,0
,# Of Churned Customers,Lost,,►,►,Total Churned Customers,37,32,35-44,TRUE,FALSE,Attitude,Attitude of service provider,Palomar Mountain,Month to Month,0032-PGELS,Churned,Churned,No,count,Joined & Stayed,dummy,Female,Yes,DSL,Married,$30 to < $45,,None,No,Yes,No,Bank Withdrawal,No,No,California,No,No,No,<1,Yes,Low Monthly charge & Shorter Tenure,92060,3.05E-05,30.5,1,30.5,0.083333333,2.541666667,,$0.00M,30.5,,,30.5,0,,1,30.5,30.5,19,,30.5,33.309852,-116.823091,-1,30.5,30.5,1,1,1,30.5,0,0,0,30.5,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,37,32,35-44,TRUE,FALSE,,,Parlier,One Year,0036-IHMOT,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Female,Yes,Fiber Optic,Married,$90 to < $105,No,None,Yes,No,Yes,Bank Withdrawal,Yes,Yes,California,Yes,Yes,Yes,4-<5,No,High Monthly charge & Longer Tenure,93648,0.00760395,102.85,12,1234.2,4.583333333,5656.75,,,,,7603.95,102.85,0,7603.95,12,1234.2,138.2536364,57,35.04,138.2536364,36.622237,-119.521126,-1,102.85,103.7,3,10,55,5656.75,20,1927.2,0,7603.95,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,42,40,35-44,TRUE,FALSE,,,Modesto,Two Year,0040-HALCW,Stayed,Joined & Stayed,,count,Joined & Stayed,dummy,Male,No,No Internet,Married,$15 to < $30,No,None,,,No,Credit Card,Yes,,California,,,,4-<5,,Low Monthly charge & Longer Tenure,95358,0.0021544,20.1962963,12,242.3555556,4.5,1090.6,,,,,2154.4,20.1962963,0,2154.4,12,242.3555556,39.8962963,,19.7,39.8962963,37.612612,-121.108568,-1,20.1962963,20.4,3,3,54,1090.6,0,1063.8,0,2154.4,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,64,64,55-64,TRUE,FALSE,,,Glen Ellen,One Year,0042-JVWOJ,Stayed,Joined & Stayed,,count,Joined & Stayed,dummy,Male,No,No Internet,Not married,$15 to < $30,No,Offer C,,,Yes,Bank Withdrawal,Yes,,California,,,,2 to <3,,Low Monthly charge & Longer Tenure,95442,0.0014308,18.14807692,12,217.7769231,2.166666667,471.85,,,,,1430.8,18.14807692,0,1430.8,12,217.7769231,55.03076923,,37.7,55.03076923,38.368744,-122.522642,-1,18.14807692,19.6,0,0,26,471.85,0,980.2,21.25,1430.8,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,47,40,45-54,TRUE,FALSE,,,Eureka,Two Year,0042-RLHYP,Stayed,Joined & Stayed,,count,Joined & Stayed,dummy,Female,No,No Internet,Married,$15 to < $30,No,None,,,No,Bank Withdrawal,Yes,,California,,,,5 to <6,,Low Monthly charge & Longer Tenure,95503,0.00404581,20.24492754,12,242.9391304,5.75,1396.9,,,,,4045.81,20.24492754,0,4045.81,12,242.9391304,58.63492754,,38.39,58.63492754,40.737431,-124.108897,-1,20.24492754,19.7,3,5,69,1396.9,0,2648.91,0,4045.81,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,23,16,<25,TRUE,FALSE,,,Moss Beach,One Year,0048-LUMLS,Stayed,Joined & Stayed,No,count,Joined & Stayed,dummy,Male,Yes,Fiber Optic,Married,$90 to < $105,No,Offer C,No,No,No,Credit Card,Yes,No,California,Yes,Yes,Yes,3 to <4,Yes,Low Monthly charge & Longer Tenure,94038,0.00483892,87.77162162,12,1053.259459,3.083333333,3247.55,,,,,4838.92,87.77162162,0,4838.92,12,1053.259459,130.7816216,51,43.01,130.7816216,37.515556,-122.502311,-1,87.77162162,91.2,3,1,37,3247.55,0,1591.37,0,4838.92,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,48,48,45-54,TRUE,FALSE,,,Los Angeles,One Year,0048-PIHNL,Stayed,Joined & Stayed,,count,Joined & Stayed,dummy,Female,No,No Internet,Married,$15 to < $30,No,Offer B,,,No,Bank Withdrawal,Yes,,California,,,,4-<5,,Low Monthly charge & Longer Tenure,90058,0.00333032,18.38571429,12,220.6285714,4.083333333,900.9,,,,,3330.32,18.38571429,0,3330.32,12,220.6285714,67.96571429,,49.58,67.96571429,34.001617,-118.222274,-1,18.38571429,20.45,0,5,49,900.9,0,2429.42,0,3330.32,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,28,24,25-34,TRUE,FALSE,,,Los Angeles,One Year,0052-DCKON,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Male,Yes,Fiber Optic,Married,<$15,Yes,None,Yes,Yes,No,Bank Withdrawal,Yes,Yes,California,Yes,Yes,Yes,5 to <6,Yes,High Monthly charge & Longer Tenure,90063,0.01083097,120.3356061,12,1444.027273,5.5,7942.15,,,,,10830.97,120.3356061,0,10830.97,12,1444.027273,164.1056061,41,43.77,164.1056061,34.044271,-118.185237,-1,120.3356061,-2,0,9,66,7942.15,0,2888.82,0,10830.97,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,28,24,25-34,TRUE,FALSE,,,Calexico,One Year,0052-YNYOT,Stayed,Joined & Stayed,,count,Joined & Stayed,dummy,Female,No,No Internet,Not married,$15 to < $30,No,None,,,No,Bank Withdrawal,Yes,,California,,,,5 to <6,,Low Monthly charge & Longer Tenure,92231,0.00286191,20.05074627,12,240.6089552,5.583333333,1343.4,,,,,2861.91,20.05074627,0,2861.91,12,240.6089552,42.71507463,,23.12,42.71507463,32.690654,-115.431225,-1,20.05074627,20.55,0,0,67,1343.4,0,1549.04,30.53,2861.91,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,33,32,25-34,TRUE,FALSE,,,Redding,Two Year,0056-EPFBG,Stayed,Joined & Stayed,Yes,count,Joined & Stayed,dummy,Male,Yes,Cable,Married,$30 to < $45,,None,No,Yes,Yes,Credit Card,No,Yes,California,No,No,No,1 to <2,Yes,Low Monthly charge & Shorter Tenure,96003,0.0008254,41.27,12,495.24,1.666666667,825.4,,,,,825.4,41.27,0,825.4,12,495.24,41.27,22,,41.27,40.677649,-122.29467,-1,41.27,39.4,1,4,20,825.4,0,0,0,825.4,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,31,24,25-34,TRUE,FALSE,,,San Martin,Two Year,0057-QBUQH,Stayed,Joined & Stayed,,count,Joined & Stayed,dummy,Female,No,No Internet,Not married,$15 to < $30,Yes,None,,,Yes,Bank Withdrawal,Yes,,California,,,,3 to <4,,Low Monthly charge & Longer Tenure,95046,0.00238767,24.8872093,12,298.6465116,3.583333333,1070.15,,,,,2387.67,24.8872093,0,2387.67,12,298.6465116,55.5272093,,30.64,55.5272093,37.084697,-121.606417,-1,24.8872093,25.1,3,0,43,1070.15,0,1317.52,0,2387.67,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,37,32,35-44,TRUE,FALSE,,,Stockton,Month to Month,0058-EVZWM,Stayed,Joined & Stayed,No,count,Joined & Stayed,dummy,Female,Yes,Fiber Optic,Married,$75 to < $90,Yes,Offer B,No,Yes,Yes,Bank Withdrawal,Yes,No,California,No,No,Yes,4-<5,Yes,Low Monthly charge & Longer Tenure,95209,0.005239,90.17454546,12,1082.094545,4.583333333,4959.6,,,,,5239,90.17454546,0,5239,12,1082.094545,95.25454546,9,5.08,95.25454546,38.044523,-121.348048,-1,90.17454546,89.8,0,2,55,4959.6,0,279.4,0,5239,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,60,56,55-64,TRUE,FALSE,,,Los Angeles,Month to Month,0060-FUALY,Stayed,Joined & Stayed,No,count,Joined & Stayed,dummy,Female,Yes,Fiber Optic,Married,$90 to < $105,Yes,Offer B,Yes,Yes,Yes,Bank Withdrawal,Yes,No,California,No,No,Yes,4-<5,Yes,High Monthly charge & Longer Tenure,90003,0.00656466,94.87542373,12,1138.505085,4.916666667,5597.65,,,,,6564.66,94.87542373,0,6564.66,12,1138.505085,111.2654237,14,16.39,111.2654237,33.964131,-118.272783,-1,94.87542373,94.75,0,4,59,5597.65,0,967.01,0,6564.66,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,48,48,45-54,TRUE,FALSE,,,Huntington Park,Two Year,0064-SUDOG,Stayed,Joined & Stayed,,count,Joined & Stayed,dummy,Female,No,No Internet,Married,$15 to < $30,No,None,,,No,Bank Withdrawal,Yes,,California,,,,1 to <2,,Low Monthly charge & Shorter Tenure,90255,0.00045586,18.70833333,12,224.5,1,224.5,,,,,455.86,18.70833333,1,455.86,12,224.5,37.98833333,,19.28,37.98833333,33.97803,-118.217141,-1,18.70833333,20.3,3,3,12,224.5,0,231.36,0,455.86,0
,# Of Churned Customers,Earned,,►,►,Total Churned Customers,60,56,55-64,TRUE,FALSE,,,Yermo,Month to Month,0064-YIJGF,Stayed,Joined & Stayed,No,count,Joined & Stayed,dummy,Male,Yes,Fiber Optic,Married,$75 to < $90,Yes,Offer C,No,No,Yes,Bank Withdrawal,Yes,No,California,No,No,No,2 to <3,Yes,Low Monthly charge & Longer Tenure,92398,0.00261102,71.44444444,12,857.3333333,2.25,1929,,,,,2611.02,71.44444444,0,2611.02,12,857.3333333,96.70444444,23,25.26,96.70444444,35.013299,-116.834092,-1,71.44444444,75.75,3,7,27,1929,0,682.02,0,2611.02,0
Competitor made better offer,# Of Churned Customers,Lost,,►,▼,Total Churned Customers,69,64,65>,TRUE,FALSE,Competitor,Competitor made better offer,San Diego,Month to Month,0067-DKWBL,Churned,Churned,No,count,Joined & Stayed,dummy,Male,Yes,DSL,Not married,$45 to < $60,No,None,No,Yes,Yes,Bank Withdrawal,Yes,No,California,No,No,No,<1,Yes,Low Monthly charge & Shorter Tenure,92129,0.00017908,45.55,2,91.1,0.166666667,15.18333333,,$0.00M,179.08,,,45.55,0,,2,91.1,89.54,27,43.99,89.54,32.961064,-117.134917,-1,45.55,49.25,0,0,2,91.1,0,87.98,0,179.08,0
